Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,average
2005,5.7,5.8,5.4,4.9,4.9,5.2,5.2,4.9,4.8,4.6,4.8,4.6,5.1
2006,5.1,5.1,4.8,4.5,4.4,4.8,5.0,4.6,4.4,4.1,4.3,4.3,4.6
2007,5.0,4.9,4.5,4.3,4.3,4.7,4.9,4.6,4.5,4.4,4.5,4.8,4.6
2008,5.4,5.2,5.2,4.8,5.2,5.7,6.0,6.1,6.0,6.1,6.5,7.1,5.8
2009,8.5,8.9,9.0,8.6,9.1,9.7,9.7,9.6,9.5,9.5,9.4,9.7,9.3
2010,10.6,10.4,10.2,9.5,9.3,9.6,9.7,9.5,9.2,9.0,9.3,9.1,9.6
2011,9.8,9.5,9.2,8.7,8.7,9.3,9.3,9.1,8.8,8.5,8.2,8.3,9.0
2012,8.8,8.7,8.4,7.7,7.9,8.4,8.6,8.2,7.6,7.5,7.4,7.6,8.1
2013,8.5,8.1,7.6,7.1,7.3,7.8,7.7,7.3,7.0,7.0,6.6,6.5,7.4
2014,7.0,7.0,6.8,5.9,6.1,6.3,6.5,6.3,5.7,5.5,5.5,5.4,6.2
2015,6.1,5.8,5.6,5.1,5.3,5.5,5.6,5.2,,,,,5.5
